dem_seats,count,probability
88,1,5e-05
100,1,5e-05
101,1,5e-05
103,2,0.0001
104,2,0.0001
111,1,5e-05
112,1,5e-05
113,1,5e-05
114,2,0.0001
116,1,5e-05
117,1,5e-05
118,2,0.0001
119,6,0.0003
120,4,0.0002
121,1,5e-05
122,2,0.0001
123,4,0.0002
124,4,0.0002
125,2,0.0001
126,4,0.0002
127,1,5e-05
128,10,0.0005
129,5,0.00025
130,5,0.00025
131,8,0.0004
132,4,0.0002
133,8,0.0004
134,4,0.0002
135,9,0.00045
136,4,0.0002
137,5,0.00025
138,10,0.0005
139,10,0.0005
140,7,0.00035
141,7,0.00035
142,9,0.00045
143,14,0.0007
144,24,0.0012
145,22,0.0011
146,13,0.00065
147,13,0.00065
148,15,0.00075
149,14,0.0007
150,26,0.0013
151,18,0.0009
152,21,0.00105
153,20,0.001
154,28,0.0014
155,29,0.00145
156,30,0.0015
157,26,0.0013
158,31,0.00155
159,39,0.00195
160,29,0.00145
161,40,0.002
162,43,0.00215
163,40,0.002
164,41,0.00205
165,36,0.0018
166,53,0.00265
167,38,0.0019
168,59,0.00295
169,50,0.0025
170,62,0.0031
171,48,0.0024
172,65,0.00325
173,67,0.00335
174,60,0.003
175,67,0.00335
176,85,0.00425
177,75,0.00375
178,83,0.00415
179,82,0.0041
180,83,0.00415
181,90,0.0045
182,97,0.00485
183,97,0.00485
184,123,0.00615
185,101,0.00505
186,100,0.005
187,112,0.0056
188,142,0.0071
189,146,0.0073
190,140,0.007
191,160,0.008
192,118,0.0059
193,151,0.00755
194,150,0.0075
195,132,0.0066
196,169,0.00845
197,163,0.00815
198,159,0.00795
199,165,0.00825
200,167,0.00835
201,183,0.00915
202,166,0.0083
203,165,0.00825
204,176,0.0088
205,210,0.0105
206,205,0.01025
207,214,0.0107
208,194,0.0097
209,204,0.0102
210,216,0.0108
211,220,0.011
212,201,0.01005
213,218,0.0109
214,248,0.0124
215,245,0.01225
216,217,0.01085
217,235,0.01175
218,226,0.0113
219,250,0.0125
220,222,0.0111
221,213,0.01065
222,212,0.0106
223,236,0.0118
224,210,0.0105
225,234,0.0117
226,215,0.01075
227,226,0.0113
228,227,0.01135
229,237,0.01185
230,196,0.0098
231,219,0.01095
232,218,0.0109
233,204,0.0102
234,215,0.01075
235,207,0.01035
236,197,0.00985
237,185,0.00925
238,176,0.0088
239,165,0.00825
240,187,0.00935
241,178,0.0089
242,184,0.0092
243,189,0.00945
244,166,0.0083
245,178,0.0089
246,146,0.0073
247,161,0.00805
248,185,0.00925
249,156,0.0078
250,158,0.0079
251,168,0.0084
252,151,0.00755
253,174,0.0087
254,158,0.0079
255,126,0.0063
256,135,0.00675
257,165,0.00825
258,126,0.0063
259,129,0.00645
260,121,0.00605
261,134,0.0067
262,119,0.00595
263,117,0.00585
264,125,0.00625
265,98,0.0049
266,116,0.0058
267,115,0.00575
268,89,0.00445
269,102,0.0051
270,91,0.00455
271,98,0.0049
272,112,0.0056
273,104,0.0052
274,85,0.00425
275,91,0.00455
276,89,0.00445
277,92,0.0046
278,89,0.00445
279,86,0.0043
280,65,0.00325
281,83,0.00415
282,66,0.0033
283,72,0.0036
284,58,0.0029
285,66,0.0033
286,76,0.0038
287,64,0.0032
288,61,0.00305
289,65,0.00325
290,58,0.0029
291,60,0.003
292,55,0.00275
293,52,0.0026
294,51,0.00255
295,46,0.0023
296,40,0.002
297,50,0.0025
298,36,0.0018
299,45,0.00225
300,44,0.0022
301,26,0.0013
302,22,0.0011
303,37,0.00185
304,37,0.00185
305,34,0.0017
306,27,0.00135
307,38,0.0019
308,19,0.00095
309,31,0.00155
310,36,0.0018
311,19,0.00095
312,18,0.0009
313,26,0.0013
314,18,0.0009
315,21,0.00105
316,18,0.0009
317,33,0.00165
318,28,0.0014
319,23,0.00115
320,23,0.00115
321,28,0.0014
322,18,0.0009
323,17,0.00085
324,19,0.00095
325,16,0.0008
326,15,0.00075
327,10,0.0005
328,11,0.00055
329,13,0.00065
330,12,0.0006
331,11,0.00055
332,4,0.0002
333,9,0.00045
334,4,0.0002
335,9,0.00045
336,10,0.0005
337,5,0.00025
338,5,0.00025
339,8,0.0004
340,8,0.0004
341,4,0.0002
342,10,0.0005
343,6,0.0003
344,7,0.00035
345,6,0.0003
346,4,0.0002
347,5,0.00025
348,2,0.0001
349,2,0.0001
350,1,5e-05
351,7,0.00035
352,1,5e-05
353,5,0.00025
354,4,0.0002
355,1,5e-05
356,4,0.0002
357,3,0.00015
358,4,0.0002
359,1,5e-05
360,5,0.00025
361,1,5e-05
362,2,0.0001
363,1,5e-05
364,1,5e-05
365,1,5e-05
366,1,5e-05
370,2,0.0001
373,1,5e-05
374,2,0.0001
378,2,0.0001
380,2,0.0001
381,1,5e-05
390,1,5e-05
391,1,5e-05
