simulation,dem_seats
1,210
2,253
3,219
4,210
5,207
6,246
7,249
8,278
9,204
10,261
11,223
12,244
13,245
14,240
15,234
16,238
17,244
18,256
19,217
20,197
21,244
22,244
23,290
24,231
25,279
26,226
27,219
28,260
29,243
30,217
31,246
32,240
33,231
34,224
35,221
36,243
37,230
38,236
39,250
40,228
41,226
42,221
43,273
44,233
45,237
46,223
47,248
48,264
49,235
50,275
51,278
52,278
53,210
54,271
55,214
56,226
57,267
58,218
59,270
60,217
61,289
62,250
63,228
64,239
65,242
66,262
67,272
68,240
69,232
70,220
71,250
72,244
73,240
74,228
75,230
76,251
77,237
78,230
79,214
80,229
81,238
82,260
83,217
84,251
85,206
86,246
87,212
88,218
89,247
90,231
91,258
92,257
93,232
94,242
95,234
96,219
97,237
98,250
99,224
100,224
101,235
102,264
103,283
104,241
105,226
106,249
107,228
108,243
109,253
110,242
111,265
112,231
113,197
114,224
115,300
116,229
117,240
118,230
119,240
120,251
121,228
122,237
123,246
124,266
125,226
126,243
127,237
128,253
129,286
130,291
131,235
132,292
133,244
134,203
135,235
136,240
137,258
138,246
139,247
140,228
141,218
142,226
143,218
144,226
145,244
146,249
147,228
148,247
149,215
150,231
151,245
152,224
153,227
154,225
155,231
156,271
157,282
158,250
159,214
160,251
161,225
162,233
163,249
164,230
165,255
166,213
167,256
168,201
169,225
170,228
171,250
172,219
173,217
174,246
175,270
176,206
177,214
178,201
179,244
180,246
181,245
182,250
183,218
184,231
185,219
186,253
187,201
188,225
189,222
190,239
191,222
192,266
193,233
194,236
195,249
196,226
197,235
198,261
199,249
200,235
201,238
202,243
203,225
204,225
205,249
206,240
207,222
208,217
209,223
210,217
211,228
212,240
213,222
214,244
215,226
216,230
217,227
218,245
219,220
220,235
221,212
222,202
223,245
224,230
225,225
226,233
227,244
228,274
229,268
230,189
231,207
232,206
233,259
234,224
235,231
236,262
237,216
238,247
239,214
240,234
241,230
242,254
243,243
244,252
245,260
246,276
247,216
248,227
249,237
250,203
251,221
252,231
253,221
254,242
255,247
256,225
257,235
258,239
259,240
260,228
261,222
262,236
263,281
264,225
265,235
266,254
267,265
268,243
269,242
270,231
271,232
272,239
273,229
274,237
275,275
276,259
277,247
278,245
279,240
280,267
281,232
282,274
283,213
284,247
285,239
286,227
287,240
288,232
289,241
290,255
291,231
292,258
293,252
294,270
295,240
296,223
297,217
298,243
299,241
300,223
301,221
302,248
303,220
304,286
305,249
306,212
307,215
308,209
309,241
310,260
311,236
312,213
313,240
