metric,value
n_sims,20000
days_out,106
expected_dem_seats,229.5929
median_dem_seats,227.0
dem_seats_p25,204.0
dem_seats_p50,227.0
dem_seats_p75,254.0
dem_control_probability,0.6029
dem_control_threshold,218
national_error_sd,8.275
region_error_sd,1.8833333333333333
demographic_error_sd,1.3833333333333333
district_error_sd,8.8375
total_error_sd,12.33035225796715
implied_correlation,0.4863019869561221
districts_with_polling,18
region_groups,13
demographic_groups,17
uncertainty_engine,dynamic_correlated_house_v1
imported_national_environment_margin,5.4
house_environment_multiplier,1.0
house_adjusted_national_environment,5.4
national_environment_margin,5.4
audit_district_count,435
audit_expected_dem_seats_from_race_probabilities,229.5929
audit_analytic_fundamentals_expected_dem_seats,227.79659415442214
audit_analytic_post_poll_expected_dem_seats,227.97543347923397
audit_analytic_polling_expected_seat_effect,0.17883932481182582
audit_active_polling_districts,18
audit_tossups_model_margin_within_2,11
audit_competitive_model_margin_within_5,28
